service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
0000000012014091020150626,1,1,1,1,1,1,1,20140910,20150626
0000000012014091520150626,1,1,1,1,1,1,1,20140915,20150626
0000000012014091720150626,1,1,1,1,1,1,1,20140917,20150626
0000000012014091920150626,1,1,1,1,1,1,1,20140919,20150626
0000000012014092920150626,1,1,1,1,1,1,1,20140929,20150626
0000000022014091020150626,1,1,1,1,1,1,0,20140910,20150626
0000000022014091320150626,1,1,1,1,1,1,0,20140913,20150626
0000000022014091520150626,1,1,1,1,1,1,0,20140915,20150626
0000000022014091720150626,1,1,1,1,1,1,0,20140917,20150626
0000000022014091920150626,1,1,1,1,1,1,0,20140919,20150626
0000000022014092920140929,1,1,1,1,1,1,0,20140929,20140929
0000000022014092920150626,1,1,1,1,1,1,0,20140929,20150626
0000000022014093020150626,1,1,1,1,1,1,0,20140930,20150626
0000000042014091020150626,1,1,1,1,1,0,0,20140910,20150626
0000000042014091120150626,1,1,1,1,1,0,0,20140911,20150626
0000000042014091220150626,1,1,1,1,1,0,0,20140912,20150626
0000000042014091520150626,1,1,1,1,1,0,0,20140915,20150626
0000000042014091720150626,1,1,1,1,1,0,0,20140917,20150626
0000000042014091920150626,1,1,1,1,1,0,0,20140919,20150626
0000000042014092220150626,1,1,1,1,1,0,0,20140922,20150626
0000000042014092920150626,1,1,1,1,1,0,0,20140929,20150626
0000000052014090920150626,1,1,1,1,1,1,0,20140909,20150626
0000000052014091020150626,1,1,1,1,1,1,0,20140910,20150626
0000000052014091120150626,1,1,1,1,1,1,0,20140911,20150626
0000000052014091520150626,1,1,1,1,1,1,0,20140915,20150626
0000000052014091720150626,1,1,1,1,1,1,0,20140917,20150626
0000000052014091920150626,1,1,1,1,1,1,0,20140919,20150626
0000000052014092420150626,1,1,1,1,1,1,0,20140924,20150626
0000000052014092920150626,1,1,1,1,1,1,0,20140929,20150626
0000000062014091020150626,1,1,1,1,1,0,0,20140910,20150626
0000000062014091120150626,1,1,1,1,1,0,0,20140911,20150626
0000000062014091320150626,1,1,1,1,1,0,0,20140913,20150626
0000000062014091520150626,1,1,1,1,1,0,0,20140915,20150626
0000000062014091620150626,1,1,1,1,1,0,0,20140916,20150626
0000000062014091720150626,1,1,1,1,1,0,0,20140917,20150626
0000000062014092720150626,1,1,1,1,1,0,0,20140927,20150626
0000000062014092920150626,1,1,1,1,1,0,0,20140929,20150626
0000000072014090920150626,0,0,0,0,0,0,1,20140909,20150626
0000000072014091020150626,0,0,0,0,0,0,1,20140910,20150626
0000000072014091520150626,0,0,0,0,0,0,1,20140915,20150626
0000000072014091720150626,0,0,0,0,0,0,1,20140917,20150626
0000000072014091920150626,0,0,0,0,0,0,1,20140919,20150626
0000000072014092920150626,0,0,0,0,0,0,1,20140929,20150626
0000000092014090920150626,1,1,1,1,1,1,0,20140909,20150626
0000000092014091020150626,1,1,1,1,1,1,0,20140910,20150626
0000000092014091020150627,1,1,1,1,1,1,0,20140910,20150627
0000000092014091120150626,1,1,1,1,1,1,0,20140911,20150626
0000000092014091520150626,1,1,1,1,1,1,0,20140915,20150626
0000000092014091720150626,1,1,1,1,1,1,0,20140917,20150626
0000000092014091920150626,1,1,1,1,1,1,0,20140919,20150626
0000000302014091020150626,0,0,0,0,0,0,0,20140910,20150626
0000000302014091720150626,0,0,0,0,0,0,0,20140917,20150626
0000000302014091920150626,0,0,0,0,0,0,0,20140919,20150626
0000000322014091020150626,1,1,1,1,1,1,0,20140910,20150626
0000000352014091020150626,0,0,0,0,0,0,0,20140910,20150626
0000000352014092920150626,0,0,0,0,0,0,0,20140929,20150626
0000000402014091020150626,0,0,0,0,1,0,0,20140910,20150626
0000000412014091020150626,0,0,1,0,0,0,0,20140910,20150626
0000000412014092920150626,0,0,1,0,0,0,0,20140929,20150626
0000000822014091020150626,0,0,0,0,0,1,0,20140910,20150626
0000000822014091120150626,0,0,0,0,0,1,0,20140911,20150626
0000000822014091520150626,0,0,0,0,0,1,0,20140915,20150626
0000000822014091620150626,0,0,0,0,0,1,0,20140916,20150626
0000000822014092720150626,0,0,0,0,0,1,0,20140927,20150626
0000000822014092920150626,0,0,0,0,0,1,0,20140929,20150626
0000004512014091020150626,0,0,0,0,0,1,0,20140910,20150626
0000004512014091820150626,0,0,0,0,0,1,0,20140918,20150626
0000004512014092920150626,0,0,0,0,0,1,0,20140929,20150626
0000005902014091020150626,1,1,1,1,1,0,0,20140910,20150626
0000005902014092920150626,1,1,1,1,1,0,0,20140929,20150626
