service_id,date,exception_type
0000000022013091120140627,20140421,2
0000000022013091120140627,20140425,2
0000000022013091120140627,20140501,2
0000000022013091120140627,20140602,2
0000000022013091220140627,20140421,2
0000000022013091220140627,20140425,2
0000000022013091220140627,20140501,2
0000000022013091220140627,20140602,2
0000000022013100520140627,20140421,2
0000000022013100520140627,20140425,2
0000000022013100520140627,20140501,2
0000000022013100520140627,20140602,2
0000000022013100720140627,20140421,2
0000000022013100720140627,20140425,2
0000000022013100720140627,20140501,2
0000000022013100720140627,20140602,2
0000000022013101020140627,20140421,2
0000000022013101020140627,20140425,2
0000000022013101020140627,20140501,2
0000000022013101020140627,20140602,2
0000000022013101420140627,20140421,2
0000000022013101420140627,20140425,2
0000000022013101420140627,20140501,2
0000000022013101420140627,20140602,2
0000000022013110420140627,20140421,2
0000000022013110420140627,20140425,2
0000000022013110420140627,20140501,2
0000000022013110420140627,20140602,2
0000000022013121420140627,20140421,2
0000000022013121420140627,20140425,2
0000000022013121420140627,20140501,2
0000000022013121420140627,20140602,2
0000000022013121520140627,20140421,2
0000000022013121520140627,20140425,2
0000000022013121520140627,20140501,2
0000000022013121520140627,20140602,2
0000000022013122120140627,20140421,2
0000000022013122120140627,20140425,2
0000000022013122120140627,20140501,2
0000000022013122120140627,20140602,2
0000000022013122320140627,20140421,2
0000000022013122320140627,20140425,2
0000000022013122320140627,20140501,2
0000000022013122320140627,20140602,2
0000000022013123020140627,20140421,2
0000000022013123020140627,20140425,2
0000000022013123020140627,20140501,2
0000000022013123020140627,20140602,2
0000000022014010720140627,20140421,2
0000000022014010720140627,20140425,2
0000000022014010720140627,20140501,2
0000000022014010720140627,20140602,2
0000000022014010820140627,20140421,2
0000000022014010820140627,20140425,2
0000000022014010820140627,20140501,2
0000000022014010820140627,20140602,2
0000000022014011020140627,20140421,2
0000000022014011020140627,20140425,2
0000000022014011020140627,20140501,2
0000000022014011020140627,20140602,2
0000000022014012220140627,20140421,2
0000000022014012220140627,20140425,2
0000000022014012220140627,20140501,2
0000000022014012220140627,20140602,2
0000000022014013120140627,20140421,2
0000000022014013120140627,20140425,2
0000000022014013120140627,20140501,2
0000000022014013120140627,20140602,2
0000000022014020520140627,20140421,2
0000000022014020520140627,20140425,2
0000000022014020520140627,20140501,2
0000000022014020520140627,20140602,2
0000000022014020620140627,20140421,2
0000000022014020620140627,20140425,2
0000000022014020620140627,20140501,2
0000000022014020620140627,20140602,2
0000000022014021020140627,20140421,2
0000000022014021020140627,20140425,2
0000000022014021020140627,20140501,2
0000000022014021020140627,20140602,2
0000000022014021220140627,20140421,2
0000000022014021220140627,20140425,2
0000000022014021220140627,20140501,2
0000000022014021220140627,20140602,2
0000000022014022520140627,20140421,2
0000000022014022520140627,20140425,2
0000000022014022520140627,20140501,2
0000000022014022520140627,20140602,2
0000000022014022820140627,20140421,2
0000000022014022820140627,20140425,2
0000000022014022820140627,20140501,2
0000000022014022820140627,20140602,2
0000000042013061120140627,20140421,2
0000000042013061120140627,20140425,2
0000000042013061120140627,20140501,2
0000000042013061120140627,20140602,2
0000000042013091120140301,20140421,2
0000000042013091120140301,20140425,2
0000000042013091120140301,20140501,2
0000000042013091120140301,20140602,2
0000000042013091120140627,20140421,2
0000000042013091120140627,20140425,2
0000000042013091120140627,20140501,2
0000000042013091120140627,20140602,2
0000000042013091420140627,20140421,2
0000000042013091420140627,20140425,2
0000000042013091420140627,20140501,2
0000000042013091420140627,20140602,2
0000000042013100820140627,20140421,2
0000000042013100820140627,20140425,2
0000000042013100820140627,20140501,2
0000000042013100820140627,20140602,2
0000000042013102120140627,20140421,2
0000000042013102120140627,20140425,2
0000000042013102120140627,20140501,2
0000000042013102120140627,20140602,2
0000000042013111520140627,20140421,2
0000000042013111520140627,20140425,2
