route_id,service_id,trip_id,trip_headsign,direction_id
7,0000000022013091120140627,0001577712013091120140627,Casatta di Valfloriana,1
7,0000000022013091120140627,0001577722013091120140627,Sicina,0
7,0000000022013091120140627,0001577732013091120140627,Casatta di Valfloriana,1
7,0000000022013091120140627,0001577742013091120140627,Sicina,0
7,0000000042013091120140627,0001577752013091120140627,Casatta di Valfloriana,1
7,0000000042013091120140627,0001577762013091120140627,Sicina,0
7,0000000022013091120140627,0001577772013091120140627,Casatta di Valfloriana,1
67,0000000022013091120140627,0001577782013091120140627,Carano-Municipio,0
65,0000000022013091120140627,0001577792013091120140627,Masi di Cavalese,0
65,0000000022013091120140627,0001577802013091120140627,Masi di Cavalese,0
65,0000000022013091120140627,0001577812013091120140627,Cavalese-Autostaz.,1
65,0000000022013091120140627,0001577822013091120140627,Masi di Cavalese,0
120,0000000022013091120140627,0001577842013091120140627,Trento-Autostaz.,1
120,0000000022013091120140627,0001577882013091120140627,Trento-Autostaz.,1
120,0000000042013091120140627,0001577892013091120140627,Trento-Autostaz.,1
120,0000000042013091120140627,0001577902013091120140627,Trento-Autostaz.,1
120,0000000042013091120140627,0001577912013091120140627,Trento-Autostaz.,1
165,0000000052013091120140627,0001577922013091120140627,Pieve di Bono-Loc. Creto,0
73,0000000412013091120140627,0001577972013091120140627,Tione-Autostazione,1
73,0000000412013091120140627,0001577982013091120140627,Montagne-Binio,0
167,0000000062013091120140627,0001577992013091120140627,Daone,0
203,0000000042013091120140627,0001578022013091120140627,Rovereto-Aut.-V.Paoli,1
233,0000000052013091120140627,0001578052013091120140627,Besagno,1
233,0000000012013091120140627,0001578062013091120140627,Brentonico,1
231,0000000022013091120140627,0001578072013091120140627,Crosano Bivio,1
233,0000000022013091120140627,0001578102013091120140627,Crosano-Via Mazzini,0
92,0000000052013091120140627,0001578122013091120140627,Baselga di Pine'-Lago,1
96,0000000052013091120140627,0001578152013091120140627,Bedollo,1
96,0000000052013091120140627,0001578162013091120140627,Svaldi,0
96,0000000052013091120140627,0001578172013091120140627,Svaldi,0
84,0000000022013091120140627,0001578232013091120140627,Regnana,0
84,0000000022013091120140627,0001578242013091120140627,Centrale di Bedollo,1
84,0000000052013091120140627,0001578252013091120140627,Regnana,0
84,0000000022013091120140627,0001578262013091120140627,Centrale di Bedollo,1
90,0000000022013091120140627,0001578432013091120140627,Levico Terme-Autostazione,1
90,0000000042013091120140627,0001578452013091120140627,Barco,0
90,0000000062013091120140627,0001578472013091120140627,Levico Terme-Autostazione,1
90,0000000012013091120140627,0001578482013091120140627,Loc. Lochere,0
188,0000000022013091120140627,0001578502013091120140627,Pergine V.-C.Intermodale,1
188,0000000042013091120140627,0001578512013091120140627,Tenna,1
188,0000000022013091120140627,0001578522013091120140627,Pergine V.-C.Intermodale,1
188,0000000022013091120140627,0001578532013091120140627,Levico T.-P.Za Medici,0
188,0000000022013091120140627,0001578542013091120140627,Pergine V.-C.Intermodale,1
188,0000000022013091120140627,0001578552013091120140627,Tenna,1
188,0000000042013091120140627,0001578562013091120140627,Levico T.-P.Za Medici,0
169,0000000052013091120140627,0001578572013091120140627,Borgo V.-C.Intermodale,1
90,0000000052013091120140627,0001578582013091120140627,Levico Terme-Autostazione,1
90,0000000052013091120140627,0001578602013091120140627,Loc. Lochere,0
494,0000000062013091120140627,0001578632013091120140627,Montagnaga,1
106,0000000052013091120140627,0001578652013091120140627,Canal S.Bovo,1
106,0000000052013091120140627,0001578662013091120140627,Ronco Chiesa,0
106,0000000052013091120140627,0001578672013091120140627,Lausen,1
106,0000000052013091120140627,0001578682013091120140627,Ronco Chiesa,0
106,0000000052013091120140627,0001578712013091120140627,Canal S.Bovo,1
153,0000000052013091120140627,0001578742013091120140627,Calvola,0
120,0000000062013091120140627,0001578762013091120140627,Trento-Autostaz.,1
171,0000000412013091120140627,0001578782013091120140627,Riva Del G.-Autostaz.,1
134,0000000022013091120140627,0001578792013091120140627,Sarche-Centro Comm.,1
181,0000000052013091120140627,0001578802013091120140627,Vigile,0
196,0000000012013091120140627,0001578812013091120140627,Guardia di Folgaria,0
196,0000000012013091120140627,0001578822013091120140627,Mezzomonte,1
324,0000000052013091120140627,0001578832013091120140627,Piazzola,0
324,0000000302013091120140627,0001578842013091120140627,Male',1
324,0000000022013091120140627,0001578852013091120140627,Male',1
324,0000000072013091120140627,0001578872013091120140627,Male',1
324,0000000022013091120140627,0001578882013091120140627,Male',1
378,0000000052013091120140627,0001578892013091120140627,Cles-Autostazione,1
330,0000000052013091120140627,0001578912013091120140627,Bolentina,0
336,0000000022013091120140627,0001578972013091120140627,Peio,0
336,0000000022013091120140627,0001578982013091120140627,Cogolo,1
203,0000000012013091120140627,0001579062013091120140627,Ometto,0
203,0000000012013091120140627,0001579072013091120140627,Raossi,1
203,0000000012013091120140627,0001579082013091120140627,Ometto,0
203,0000000012013091120140627,0001579092013091120140627,Raossi,1
203,0000000012013091120140627,0001579102013091120140627,Raossi,0
203,0000000012013091120140627,0001579112013091120140627,Albaredo,1
203,0000000012013091120140627,0001579122013091120140627,Raossi,0
203,0000000012013091120140627,0001579132013091120140627,Albaredo,1
198,0000000052013091120140627,0001579142013091120140627,Piazza di Terragnolo,1
177,0000000052013091120140627,0001579182013091120140627,Kamauz,0
65,0000000022013091120140627,0001579192013091120140627,Cavalese-Autostaz.,1
84,0000000042013091120140627,0001579202013091120140627,Regnana,0
366,0000000042013091120140627,0001579222013091120140627,Mezzolombardo,0
188,0000000092013091120140627,0001579412013091120140627,Pergine V.-C.Intermodale,1
90,0000005902013091120140627,0001579452013091120140627,Levico Terme-Autostazione,1
395,0000000052013091120140627,0001579492013091120140627,Vigo di Ton,1
324,0000000012013091120140627,0001579502013091120140627,Somrabbi,0
203,0000000022013091120140627,0001579622013091120140627,Rovereto-Aut.-V.Paoli,1
311,0000000052013091120140627,0001579752013091120140627,Transacqua-Via Navoi 66,1
7,0000000022013091120140627,0001579762013091120140627,Sicina,0
7,0000000022013091120140627,0001579772013091120140627,Casatta di Valfloriana,1
203,0000000062013091120140627,0001579862013091120140627,Rovereto-Aut.-V.Paoli,1
233,0000000042013091120140627,0001579872013091120140627,Crosano Bivio,0
233,0000000042013091120140627,0001579882013091120140627,Besagno,1
494,0000000052013091120140627,0001579892013091120140627,Montagnaga,1
181,0000000052013091120140627,0001579902013091120140627,Vigile,0
120,0000000052013091120140627,0001579912013091120140627,Trento-Autostaz.,1
324,0000000022013091120140627,0001579922013091120140627,Male',1
167,0000000042013091120140627,0001579962013091120140627,Pieve di Bono-Loc. Creto,1
96,0000000052013091120140627,0001580032013091120140627,Bedollo,1
378,0000000052013091120140627,0001580042013091120140627,Cles-Autostazione,1
520,0000000022013091120140627,0001580462013091120140627,Trento-Autostaz.,1
95,0000000052013091120140627,0001580472013091120140627,Brusago,0
179,0000000022013091120140627,0001580532013091120140627,Palu' Del Fersina,0
196,0000000052013091120140627,0001580582013091120140627,Mezzomonte,1
102,0000000012013091120140627,0001580642013091120140627,Feltre-Staz. Fs,0
