service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
0000000012014091020150609,1,1,1,1,1,1,1,20140910,20150609
0000000022014091020150609,1,1,1,1,1,1,0,20140910,20150609
0000000032014091020150609,1,1,1,1,1,1,0,20140910,20150609
0000000052014091020150609,0,0,0,0,0,0,1,20140910,20150609
0000000092014091020150609,1,1,1,1,1,0,0,20140910,20150609
0000000102014091020150609,1,1,1,1,1,0,0,20140910,20150609
0000000202014091020150609,0,0,0,0,0,1,0,20140910,20150609
0000000252014091020150609,0,0,0,0,0,1,0,20140910,20150609
0000000532014091020150609,1,1,1,1,1,0,0,20140910,20150609
0000000592014091020150609,1,1,1,1,1,1,0,20140910,20150609
0000000592014091520150609,1,1,1,1,1,1,0,20140915,20150609
0000000602014091020150609,1,1,1,1,1,1,0,20140910,20150609
0000000622014091020150609,0,0,0,0,0,0,1,20140910,20150609
0000000662014091020150609,1,1,1,1,1,0,0,20140910,20150609
0000000662014092920150609,1,1,1,1,1,0,0,20140929,20150609
0000000672014091020150609,1,1,1,1,1,0,0,20140910,20150609
0000000672014092920150609,1,1,1,1,1,0,0,20140929,20150609
0000000772014091020150609,0,0,0,0,0,1,0,20140910,20150609
0000000822014091020150609,0,0,0,0,0,1,0,20140910,20150609
0000001092014091020150609,1,1,1,1,1,1,0,20140910,20150609
