route_id,service_id,trip_id,trip_headsign,direction_id
417,0000000022014091020150609,0002532092014091020150609,Lavis Rosmini Segantini,1
417,0000000032014091020150609,0002532102014091020150609,Lavis Rosmini Segantini,1
398,0000000022014091020150609,0002532112014091020150609,Bettini "Madonna Bianca",0
398,0000000022014091020150609,0002532122014091020150609,Bettini "Madonna Bianca",0
400,0000000022014091020150609,0002532132014091020150609,Oltrecastello,0
400,0000000022014091020150609,0002532142014091020150609,Oltrecastello,0
400,0000000022014091020150609,0002532152014091020150609,Oltrecastello,0
406,0000000022014091020150609,0002532162014091020150609,Villamontagna P.Predaroi,0
406,0000000022014091020150609,0002532172014091020150609,Villamontagna P.Predaroi,0
406,0000000022014091020150609,0002532182014091020150609,Piazza Dante Dogana,1
395,0000000102014091020150609,0002532192014091020150609,Gazzoletti Piazza Dante,0
398,0000000102014091020150609,0002532202014091020150609,Piazza Dante "Pal. Regione",1
398,0000000032014091020150609,0002532212014091020150609,Piazza Dante "Pal. Regione",1
398,0000000102014091020150609,0002532222014091020150609,Bettini "Madonna Bianca",0
406,0000000032014091020150609,0002532232014091020150609,Villamontagna P.Predaroi,0
400,0000000022014091020150609,0002532242014091020150609,Oltrecastello,0
406,0000000032014091020150609,0002532252014091020150609,Piazza Dante Dogana,1
398,0000000022014091020150609,0002532262014091020150609,Piazza Dante "Pal. Regione",1
404,0000000032014091020150609,0002532272014091020150609,Fermi La Clarina,0
398,0000000092014091020150609,0002532282014091020150609,Piazza Dante "Pal. Regione",1
408,0000000102014091020150609,0002532292014091020150609,Piazza Dante Dogana,1
400,0000000022014091020150609,0002532302014091020150609,Piazza Dante Dogana,1
400,0000000022014091020150609,0002532312014091020150609,Oltrecastello,0
400,0000000022014091020150609,0002532322014091020150609,Piazza Dante Dogana,1
398,0000000022014091020150609,0002532332014091020150609,Bettini "Madonna Bianca",0
395,0000000092014091020150609,0002532342014091020150609,Vela Centro,0
395,0000000022014091020150609,0002532352014091020150609,Vela Centro,0
417,0000000032014091020150609,0002532362014091020150609,Piazza Dante Dogana,0
398,0000000102014091020150609,0002532372014091020150609,Verona Menguzzato,0
398,0000000032014091020150609,0002532382014091020150609,Piazza Dante "Pal. Regione",1
402,0000000092014091020150609,0002532392014091020150609,Gardolo P.Le Neufahrn Sud,0
395,0000000092014091020150609,0002533242014091020150609,Vela Centro,0
395,0000000022014091020150609,0002533252014091020150609,Vela Centro,0
395,0000000092014091020150609,0002533262014091020150609,Vela Centro,0
396,0000000032014091020150609,0002533352014091020150609,Travai Piazza Fiera,0
398,0000000022014091020150609,0002533362014091020150609,Bettini "Madonna Bianca",0
398,0000000022014091020150609,0002533372014091020150609,Bettini "Madonna Bianca",0
398,0000000022014091020150609,0002533382014091020150609,Bettini "Madonna Bianca",0
398,0000000022014091020150609,0002533392014091020150609,Bettini "Madonna Bianca",0
398,0000000022014091020150609,0002533402014091020150609,Bettini "Madonna Bianca",0
398,0000000022014091020150609,0002533412014091020150609,Bettini "Madonna Bianca",0
398,0000000022014091020150609,0002533422014091020150609,Bettini "Madonna Bianca",0
398,0000000022014091020150609,0002533432014091020150609,Bettini "Madonna Bianca",0
398,0000000022014091020150609,0002533442014091020150609,Bettini "Madonna Bianca",0
398,0000000022014091020150609,0002533452014091020150609,Bettini "Madonna Bianca",0
398,0000000022014091020150609,0002533462014091020150609,Bettini "Madonna Bianca",0
398,0000000022014091020150609,0002533472014091020150609,Bettini "Madonna Bianca",0
398,0000000022014091020150609,0002533482014091020150609,Bettini "Madonna Bianca",0
398,0000000022014091020150609,0002533492014091020150609,Bettini "Madonna Bianca",0
398,0000000022014091020150609,0002533502014091020150609,Bettini "Madonna Bianca",0
398,0000000022014091020150609,0002533512014091020150609,Bettini "Madonna Bianca",0
398,0000000022014091020150609,0002533522014091020150609,Bettini "Madonna Bianca",0
398,0000000022014091020150609,0002533532014091020150609,Bettini "Madonna Bianca",0
398,0000000022014091020150609,0002533542014091020150609,Bettini "Madonna Bianca",0
398,0000000022014091020150609,0002533552014091020150609,Bettini "Madonna Bianca",0
